NOMBRE;"	CATEGORIA (MUJER/HOMBRE)";TALLA;STOCK TOTAL;IMAGEN;PRECIO
CRISTI005;MUJER;35;5;CRISTI005.PNG;$22.40
DAN010;MUJER;36;10;DAN010.PNG;$22.40
DAN011;MUJER;37;35;DAN011.PNG;$22.40
LUCRECIA004;MUJER;38;20;LUCRECIA004.PNG;$22.40
PAULINA001;MUJER;35;5;PAULINA001.PNG;$25.00
PAULINA002;MUJER;36;10;PAULINA002.PNG;$25.00
PAULINA003;MUJER;37;35;PAULINA003.PNG;$25.00
PAULINA004;MUJER;38;20;PAULINA004.PNG;$25.00
PAULINA005;MUJER;35;5;PAULINA005.PNG;$25.00
SARA003;MUJER;36;10;SARA003.PNG;$25.00
